Item,Quantity,Total Cost (USD),Description / Part Number,Notes,Links
ESP32-CAM module,1,$9.43,AI-Thinker ESP32-CAM Dev Board,Main controller + camera,https://ca.robotshop.com/products/esp32-cam-module-esp32s-development-board-with-ttl-downloader-ov2640-camera
MG90S Servo Motor,5,$13.84,"Metal Gear Micro Servo, 9g",One per finger,https://www.amazon.ca/MG90S-MG-90S-Servo-Motor-Micro/dp/B0C6XSLBHT?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=AW9T8AN8WY1PG&
"Pushbutton Switch (NO, SPST)",3,$7.35,Mini tactile pushbutton switch,"For mode selection buttons. The link is the cheapest one (in terms of price per piece) I could find including the shipping (since its in Canada where I live)",https://www.amazon.ca/uxcell-6x6x5mm-Terminals-Button-Switch/dp/B07JM27QJC/ref=sr_1_26_sspa?crid=8OVUDT7K975T&dib=eyJ2IjoiMSJ9.qd83T_Ya94qiqPvR9N-A8lTnp-ChpK7iVXoOqFizaOYkTLgfciaQnGeunpBFzYqQX6Mz8pec8gj78s5yyJUivwUu8beh-YY6NgmqU0qTIh7H7d4dwIXUj9IYcSJc8dQctK7Q5GRhBoI4tRm8tr2Dyp1jTi2Pl5lIvp_rfZ0MxeTU7dboaS4toChNk5tH0QEEyt3me4I_LALUOdg-otp-RpdY7VQUh1F-u51FCgbxqAxsoqU9TYhK9vvD0bTB7it3GxyY6ueHMpYpukeAkqJRIeMNvkExOlgjpgvvFYwWzbI.cM575hV-KyB_pEZ9SYoIAl4u9f3eIMTUE_Vdm6QYL7Y&dib_tag=se&keywords=6+x+6mm+x+5mm+Momentary+Tactile+Tact+Push+Button+Switch&qid=1751494932&s=industrial&sprefix=6+x+6mm+x+5mm+momentary+tactile+tact+push+button+switch%2Cindustrial%2C79&sr=1-26-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
"Electrolytic Capacitor 1000µF, 10V",1,$7.35,Radial leaded capacitor,"Power smoothing for servo supply. The cheapest version is in the link (20 pieces), because buying singular ones are extremely expensive due to shipping",https://www.amazon.ca/uxcell-1000uF-Radial-Electrolytic-Capacitor/dp/B016EK6H9M?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A24JGA3DO5B17D
USB 5V 3A DC–DC Converter,1,$8.24,USB Power Adapter,Powers servos and ESP32,https://www.amazon.ca/G120503-Converter-Waterproof-Convertor-Navigation/dp/B0D2RGT8SW/ref=sr_1_30?crid=3T02RXA869K2K&dib=eyJ2IjoiMSJ9.RCqtb0XsfR_6_BGOPxv0xWeBKKqKtnA5YvT0M9m1xofv7K_K81XqPc39T67mAic-7o_Mgdl4rDtqRbcywQ7ishHXHlwN9-V2Wbz-5HUF8VHUmi0ZV0hvfWRxwXg09hQFzQIxY3o3idbtoLgfVIkzow7oIurvo5-8-5IV5KNGWjgpP1az9SZs5MDdJXPeA0gDSqj7FAeDuyTWKRGdxbOHJOx6yIQAXTlXr5vA6O0wC8AxmhEGy388txB9bzePne0PEX0zRRkToGXiWfvKPkqoFyTrPhQqY6X7ePLvBipUdno.FfV4lEZFD8gfKbJGWBc0-1i2fj1XBKNsEN2J3lpFW_0&dib_tag=se&keywords=USB+5%E2%80%AFV%E2%80%AF3%E2%80%AFA+DC%E2%80%93DC+Converter&qid=1751494719&sprefix=usb+5+v+3+a+dc+dc+converter%2Caps%2C140&sr=8-30
Male/Female Jumper Wires,~15,Already Owned,Dupont cables,"For wiring servos, buttons, ESP32",N/A
USB to Serial Adapter (FTDI),1,$6.48,For programming ESP32-CAM,"ESP32-CAM has built-in USB, but I do not have this, which is why I need it",https://www.amazon.ca/Adapter-Performance-Communication-Devices-Plastic/dp/B0F7QXZ8RD/ref=sr_1_9?crid=13LQDG99MDTY5&dib=eyJ2IjoiMSJ9.DyyY_BaJKhhtwx9FpQgni-wzcTRbKnWTOOqX5PUKcIVWNo0ELQH4m9f6YVSOlCodje7pcUqgyeh3n9kqVpRkOMv2VVW51wU8_7Bingex-otlIUPB4I6KIclMSUeXH1NM30BfGkiwFLpI7YH_FUapqx2DMAYS_XrC8-wUhupkJzGqrKwWO5hlY4iFboHxqZO8x5IP2CPOVCSM6fqmBMTDN9vuIEsDNV0fmVx2XZLS0cx4DLTM7QbSUv1VwmlsH41OpJ4mfnqlx0t7gyZsXwwsFiUz6G6ukTS3uNfFXYIsKMY.3P1SY_BjfWnqM2rl_S7ds6JBB8qjUlIBxBBDOMbnvAo&dib_tag=se&keywords=**USB+to+Serial+Adapter+%28FTDI%29**&qid=1751495070&sprefix=usb+to+serial+adapter+ftdi+%2Caps%2C147&sr=8-9
3D Printed Parts (CAD),Varies,$5.00 - $20.00,"Finger joints, palm base, mounts (~75g PLA)",Varies by the estimated filament cost and the number of trials of testing,N/A
3 Pin JST-XH Connector (20 pieces),1,$6.78,20 Sets Pack Micro JST 1.25MM 3 Pin Male Female Connector Plug with Wires Cables,Need this to coneect the servo motors and the V+s and the GNDs,https://www.amazon.ca/1-25MM-Female-Connector-Cables-Circuit/dp/B0DDJSTVWX/ref=sr_1_16?crid=2I8LPHQTNL9T5&dib=eyJ2IjoiMSJ9.a0Ks31eMb2jXaw3wDK6PcIVx4FeHxdih-UCEZ3CKKWydOtoVfIjiLRPHqy5p7bDT3k51PceWSRUK4qgAJl1B-kDUmS52fSxDNLsYXKgoXJU8sWQqAg7Z7e6ip-FGHc5XWVLx7w0HWCKy9QAOXn0mXOivHXjJhXMDZuMN8UxmyaKcqBFb4yXaK7XjvBtmJ52ZlnCibS2oyG1u9rP8r8RTmdHRmpf3vA3r8UmbYcrW3q2DsTc3Plp2vZYxlroxycFmJxbKZkmnTuBbF5hHoVtzIbTY-DPRZ7-jqW7L1bobxmg.ZgdPgBnRNN4L9o5P_RviG2VtrsPwxMUokMbO8ADUnnE&dib_tag=se&keywords=3%2BPin%2BJST-XH%2BConnector%2B(5%2Bpack)&qid=1751550453&s=industrial&sprefix=3%2Bpin%2Bjst-xh%2Bconnector%2B5%2Bpack%2B%2Cindustrial%2C120&sr=1-16&th=1
3‑Pin Header (2.54 mm),5,$0.63,3 pin header pins. Digikey 61300311121,Need this to connect the servo motors and the V+s and the GNDs,https://www.amazon.ca/1-25MM-Female-Connector-Cables-Circuit/dp/B0DDJSTVWX/ref=sr_1_16?crid=2I8LPHQTNL9T5&dib=eyJ2IjoiMSJ9.a0Ks31eMb2jXaw3wDK6PcIVx4FeHxdih-UCEZ3CKKWydOtoVfIjiLRPHqy5p7bDT3k51PceWSRUK4qgAJl1B-kDUmS52fSxDNLsYXKgoXJU8sWQqAg7Z7e6ip-FGHc5XWVLx7w0HWCKy9QAOXn0mXOivHXjJhXMDZuMN8UxmyaKcqBFb4yXaK7XjvBtmJ52ZlnCibS2oyG1u9rP8r8RTmdHRmpf3vA3r8UmbYcrW3q2DsTc3Plp2vZYxlroxycFmJxbKZkmnTuBbF5hHoVtzIbTY-DPRZ7-jqW7L1bobxmg.ZgdPgBnRNN4L9o5P_RviG2VtrsPwxMUokMbO8ADUnnE&dib_tag=se&keywords=3%2BPin%2BJST-XH%2BConnector%2B(5%2Bpack)&qid=1751550453&s=industrial&sprefix=3%2Bpin%2Bjst-xh%2Bconnector%2B5%2Bpack%2B%2Cindustrial%2C120&sr=1-16&th=1
Female Power Adapter DC Barrel to Screw Plug Jack Connector,1,$7.36,Mr.Geeker 10 Pcs Female Power Adapter DC Barrel to Screw Plug Jack Connector 2.1x5.5mm,Used to connect the power adapter to the ESP32-CAM board but manage the power and GND. The product link was the cheapest deal I could find,https://www.amazon.ca/dp/B00NXGVWIM